ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0110,06/09/2017,2017,9,6,PEATON,PEATON,MASCULINO,56,07/09/2017
2017-0111,07/09/2017,2017,9,7,PEATON,PEATON,FEMENINO,79,07/09/2017
2017-0112,10/09/2017,2017,9,10,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,1,SD
2017-0112,10/09/2017,2017,9,10,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,SD,13/09/2017
2017-0113,11/09/2017,2017,9,11,PEATON,PEATON,FEMENINO,76,11/09/2017
2017-0114,15/09/2017,2017,9,15,CONDUCTOR,AUTO,MASCULINO,26,15/09/2017
2017-0115,19/09/2017,2017,9,19,CONDUCTOR,MOTO,MASCULINO,34,SD
2017-0116,20/09/2017,2017,9,20,CONDUCTOR,MOTO,MASCULINO,22,20/09/2017
2017-0118,22/09/2017,2017,9,22,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,26,29/09/2017
2017-0120,02/10/2017,2017,10,2,CONDUCTOR,MOTO,MASCULINO,20,02/10/2017
2017-0123,10/10/2017,2017,10,10,PEATON,PEATON,FEMENINO,36,10/10/2017
2017-0124,12/10/2017,2017,10,12,CONDUCTOR,MOTO,MASCULINO,51,12/10/2017
2017-0125,13/10/2017,2017,10,13,CONDUCTOR,MOTO,MASCULINO,29,13/10/2017
2017-0126,14/10/2017,2017,10,14,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,39,SD
2017-0126,14/10/2017,2017,10,14,CONDUCTOR,AUTO,MASCULINO,36,14/10/2017
2017-0127,16/10/2017,2017,10,16,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,24,16/10/2017
2017-0128,17/10/2017,2017,10,17,PEATON,PEATON,FEMENINO,60,17/10/2017
2017-0129,26/10/2017,2017,10,26,CONDUCTOR,MOTO,MASCULINO,57,26/10/2017
2017-0130,27/10/2017,2017,10,27,CONDUCTOR,AUTO,MASCULINO,23,27/10/2017
2017-0132,30/10/2017,2017,10,30,CONDUCTOR,MOTO,MASCULINO,23,30/10/2017
2017-0134,06/11/2017,2017,11,6,PEATON,PEATON,FEMENINO,47,06/11/2017
2017-0135,07/11/2017,2017,11,7,CONDUCTOR,MOTO,MASCULINO,24,07/11/2017
2017-0136,16/11/2017,2017,11,16,PEATON,PEATON,MASCULINO,55,16/11/2017
2017-0137,17/11/2017,2017,11,17,PEATON,PEATON,FEMENINO,60,17/11/2017
2017-0138,19/11/2017,2017,11,19,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,25,19/11/2017
2017-0139,19/11/2017,2017,11,19,PASAJERO_ACOMPA¥ANTE,AUTO,FEMENINO,15,19/11/2017
2017-0140,19/11/2017,2017,11,19,CONDUCTOR,MOTO,MASCULINO,24,19/11/2017
2017-0141,23/11/2017,2017,11,23,PEATON,PEATON,FEMENINO,22,23/11/2017
